id,cycle,a,b,score
1,1,0.25,1.02,0.109
2,1,2.14,1.47,0.892
3,1,2.40,0.56,0.486
4,1,1.63,0.72,0.289
5,1,2.82,2.99,0.133
6,1,3.90,1.60,0.357
7,1,3.59,2.51,0.240
8,1,0.89,2.21,0.148
9,1,2.67,0.39,0.424
10,1,1.07,0.41,0.141
11,1,3.24,4.08,0.060
12,1,4.99,0.69,0.102
13,1,4.54,4.58,0.000
14,1,0.24,3.62,0.038
15,1,3.91,2.10,0.176
16,2,0.90,0.86,0.109
17,2,1.98,0.21,0.198
18,2,2.37,2.40,0.307
19,2,1.47,1.84,0.396
20,2,2.46,0.90,0.740
21,2,0.55,2.77,0.063
22,2,1.64,2.04,0.384
23,2,3.31,0.00,0.171
24,2,3.58,0.71,0.366
25,2,3.42,1.85,0.519
26,2,2.03,1.87,0.690
27,2,1.44,2.23,0.237
28,2,1.28,0.15,0.102
29,2,3.64,0.88,0.405
30,2,2.71,0.23,0.280
31,3,2.66,0.96,0.813
32,3,3.06,1.16,0.829
33,3,2.90,1.35,0.892
34,3,3.31,1.33,0.675
35,3,2.45,1.69,0.852
36,3,2.38,1.29,0.937
37,3,2.15,1.62,0.810
38,3,2.90,0.98,0.749
39,3,2.65,1.58,0.940
40,3,2.51,1.54,0.957
41,3,2.24,1.52,0.859
42,3,1.90,1.52,0.710
43,3,2.67,1.46,0.951
44,3,2.18,1.23,0.906
45,3,2.97,1.69,0.814
